Prebuilt Roles,,,,Custom Roles
chronicle.entityRiskScores.queryEntityRiskScores,chronicle.featuredContentSearchQueries.list,chronicle.legacies.legacyFetchAlertsView,,chronicle.findingsGraphs.exploreNode
chronicle.errorNotificationConfigs.create,chronicle.feedPacks.get,chronicle.legacies.legacyFetchUdmSearchCsv,,chronicle.findingsGraphs.initializeGraph
chronicle.errorNotificationConfigs.delete,chronicle.feedPacks.list,chronicle.legacies.legacyFetchUdmSearchView,,chronicle.findingsRefinementDeployments.get
chronicle.errorNotificationConfigs.get,chronicle.findingsGraphs.exploreNode,chronicle.legacies.legacyFindAssetEvents,,chronicle.findingsRefinementDeployments.list
chronicle.errorNotificationConfigs.list,chronicle.findingsGraphs.initializeGraph,chronicle.legacies.legacyFindRawLogs,,chronicle.findingsRefinementDeployments.update
chronicle.errorNotificationConfigs.update,chronicle.findingsRefinementDeployments.get,chronicle.legacies.legacyFindUdmEvents,,chronicle.findingsRefinements.computeActivity
chronicle.events.batchGet,chronicle.findingsRefinementDeployments.list,chronicle.legacies.legacyGetAlert,,chronicle.findingsRefinements.computeAllActivities
chronicle.events.findUdmFieldValues,chronicle.findingsRefinementDeployments.update,chronicle.legacies.legacyGetCuratedRulesTrends,,chronicle.findingsRefinements.get
chronicle.events.get,chronicle.findingsRefinements.computeActivity,chronicle.legacies.legacyGetDetection,,chronicle.findingsRefinements.list
chronicle.events.import,chronicle.findingsRefinements.computeAllActivities,chronicle.legacies.legacyGetEventForDetection,,chronicle.findingsRefinements.test
chronicle.events.queryProductSourceStats,chronicle.findingsRefinements.create,chronicle.legacies.legacyGetRuleCounts,,chronicle.forwarders.get
chronicle.events.searchRawLogs,chronicle.findingsRefinements.get,chronicle.legacies.legacyGetRulesTrends,,chronicle.forwarders.list
chronicle.events.udmSearch,chronicle.findingsRefinements.list,chronicle.legacies.legacyRunTestRule,,chronicle.globalDataAccessScopes.permit
chronicle.events.validateQuery,chronicle.findingsRefinements.test,chronicle.legacies.legacySearchArtifactEvents,,chronicle.ingestionLogLabels.get
chronicle.extensionValidationReports.get,chronicle.findingsRefinements.update,chronicle.legacies.legacySearchArtifactIoCDetails,,chronicle.ingestionLogLabels.list
chronicle.extensionValidationReports.list,chronicle.forwarders.generate,chronicle.legacies.legacySearchAssetEvents,,chronicle.ingestionLogNamespaces.get
chronicle.featuredContentNativeDashboards.get,chronicle.forwarders.get,chronicle.legacies.legacySearchCuratedDetections,,chronicle.ingestionLogNamespaces.list
chronicle.featuredContentNativeDashboards.install,chronicle.forwarders.list,chronicle.legacies.legacySearchCustomerStats,,chronicle.instances.get
chronicle.featuredContentNativeDashboards.list,chronicle.globalDataAccessScopes.permit,chronicle.legacies.legacySearchDetections,,chronicle.instances.logTypeClassifier
chronicle.featuredContentRules.list,chronicle.ingestionLogLabels.get,chronicle.legacies.legacySearchDomainsRecentlyRegistered,,chronicle.instances.report
chronicle.featuredContentSearchQueries.get,chronicle.ingestionLogLabels.list,chronicle.legacies.legacySearchDomainsTimingStats,,chronicle.iocAssociations.batchGet
chronicle.featuredContentSearchQueries.install,chronicle.ingestionLogNamespaces.get,chronicle.legacies.legacySearchEnterpriseWideAlerts,,chronicle.iocAssociations.fetchRelatedIocAssociations
chronicle.featuredContentSearchQueries.list,chronicle.ingestionLogNamespaces.list,chronicle.legacies.legacySearchEnterpriseWideIoCs,,chronicle.iocAssociations.fetchRelatedThreatCollections
